level_1,level_2,description,ui string,type,apply to bin,location type,synonyms,issues
Not presented,,The bin was not presented on the street.,Not emptied: 23 November. Sorry we couldn't empty your bins – they weren't left out for us to empty.,data,yes,site,Non-Presentation,
Wrongly presented,,There was a problem with the bin as presented.,Not emptied: 23 November. Sorry we didn't empty your bins – they were the wrong bins for this week's recycling collection.,data,yes,site,Wrong bin (wrong residual / recycling week),Is this for wrong bins?
Too heavy,,The container was too heavy to empty.,Not emptied: 23 November. Sorry we couldn't empty your bins – the contents were too heavy.,data,yes,site,Overweight Bin / Bin too heavy (unsafe to lift),
Excess waste,,There is too much waste to collect.,Not emptied: 23 November. Sorry we couldn't empty your bins – there was too much waste for us to collect.,data,yes,site,,
,Lid open,"The container was too full, the lid would not close properly.",Not emptied: 23 November. Sorry we didn't empty your bins – they were too full so the lid wouldn't close properly.,data,yes,site,Overflowing Bin / Lid up,
,Side waste present,Extra refuse was present at the side of the bins.,Not emptied: 23 November. Sorry we didn't empty your bins – there was extra rubbish left by the side of your bins. [INFO: Find out how to avoid bin contamination here],data,yes,site,Sidewaste / Side waste (bin emptied but side waste left),
Contaminated,,The contents was contaminated.,Not emptied: 23 November. Sorry we didn't empty your bins – the contents were contaminated. [INFO: Find out how to avoid bin contamination here],data,yes,site,Incorrect items in bin (contaminated),
,Food waste,Contaminated with food waste,Not emptied: 23 November. Sorry we didn't empty your bins – the contents were contaminated with food waste. [INFO: Find out what to do with food waste here],data,yes,site,,
,Garden waste,Contaminated with garden waste,Not emptied: 23 November. Sorry we didn't empty your bins – the contents were contaminated with garden waste. [INFO: Find out what to do with garden waste here],data,yes,site,,
,Refuse waste,Contaminated with refuse waste,Not emptied: 23 November. Sorry we didn't empty your bins – the contents were contaminated with refuse waste. [INFO: Find out what to do with refuse waste here],data,yes,site,,
,Bulky waste,Contaminated with bulky waste,Not emptied: 23 November. Sorry we didn't empty your bins – the contents were contaminated with bulky waste. [INFO: Find out what to do with bulky waste here],data,yes,site,,
,Rubble/DIY,Contaminated with rubble,Not emptied: 23 November. Sorry we didn't empty your bins – the contents were contaminated with rubble. [INFO: Find out what to do with rubble here],data,yes,site,,
,Commercial,Contaminated with commercial waste,Not emptied: 23 November. Sorry we didn't empty your bins – the contents were contaminated with commercial waste. [INFO: Find out what to do with commercial waste here],data,yes,site,,
,Turf/soil,Contaminated with turf or soil,Not emptied: 23 November. Sorry we didn't empty your bins – the contents were contaminated with turf or soil. [INFO: Find out what to do with turf or soil here],data,yes,site,,
,Animal bedding,Contaminated with animal bedding,Not emptied: 23 November. Sorry we didn't empty your bins – the contents were contaminated with animal bedding. [INFO: Find out what to do with animal bedding here],data,yes,site,,
Inaccessible bin store,,It was not possible to access the bins.,Not emptied: 23 November. Sorry we couldn't empty your bins – it wasn't possible to access your bin store.,data,no,site,Inaccessible Bin Store,
Damaged,,A bin was damaged.,Not emptied: 23 November. Sorry we couldn't empty your bins – your bin was damaged.,data,yes,site,Bin damaged / Damaged bin (unsafe to lift),
,Lid,Damaged lid.,"Not emptied: 23 November. Sorry we couldn't empty your bins – the lid of your bin was damaged. Don't worry, we'll replace it soon.",data,yes,site,,
,Wheels,Damaged wheels.,"Not emptied: 23 November. Sorry we couldn't empty your bins – the wheels of your bin are damaged. Don't worry, we'll replace it soon.",data,yes,site,,
,Body,Damaged body.,"Not emptied: 23 November. Sorry we couldn't empty your bins – the body of your bin was damaged. Don't worry, we'll replace it soon.",data,yes,site,,
Excess bins,,Too many bins are at property.,Not emptied: 23 November. Sorry we couldn't empty your bins – there were too many bins on your property.,data,yes,site,,
Bin from other council,,Bin is associated with a different council.,"Not emptied: 23 November. Sorry we didn't empty your bins – your bin is from a different council. If this sounds wrong, contact us immediately.",data,yes,site,,
Bin lost in vehicle,,A bin was lost inside the vehicle.,Missing bin: 23 November. Sorry your bin is missing – it was lost inside our vehicle. Don't worry – we'll replace it soon.,data,yes,site,Receptacle Lost in Vehicle,
Not on scheme,,The property was not on the service.,"Not emptied: 23 November. Sorry we didn't empty your bins – your property is not currently in our records. If this sounds wrong, contact us immediately.",data,no,site,,
Querying assisted,,,???,data,no,site,,?
Safety concern,,"The containers are in the wrong location, a dog made access difficult, etc.","Not emptied: 23 November. Sorry we couldn't empty your bins – there was a risk of injury because the containers were in the wrong location.
Not emptied: 23 November. Sorry we couldn't empty your bins – there was a risk of injury because a dog blocked our access.",data,no,site,,
,Street,,,,no,street,,
,Customer,,,,no,site,,
,Animal,,,,no,site,,
Street completed,,All properties on this street have been visited.,Emptied: 23 November. We emptied all the bins in your street.,info,no,street,,
Blocked by vehicles,,A street cannot be accessed due to vehicles blocking access.,Not emptied: 23 November. Sorry we couldn't empty your bins – a vehicle blocked our access.,problem,no,street,,
Roadworks,,Roadworks are blocking the street.,Not emptied: 23 November. Sorry we couldn't empty your bins – roadworks blocked our access.,problem,no,street,,
Gate locked,,A street cannot be accessed due to a gate being locked.,Not emptied: 23 November. Sorry we couldn't empty your bins – a locked gate blocked our access.,problem,no,street,,street gates?
Partly completed street,,,???,problem,no,street,,when?
Alarm activated,,A vehicle alarm was activated.,Not emptied: 23 November. Sorry we couldn't empty your bins – a vehicle alarm was activated.,problem,no,street,,?
Breakdown,,The waste collection truck broke down.,Not emptied: 23 November. Sorry we couldn't empty your bins – our truck broke down.,problem,no,street,,
Road closure,,The road was closed.,Not emptied: 23 November. Sorry we couldn't empty your bins – a road was closed which blocked our access.,problem,no,street,,
Inaccessible road,,The road could not be accessed.,Not emptied: 23 November. Sorry we couldn't empty your bins – we couldn't access your road.,problem,no,street,,