name,reference_name,machine_name,sizes,description,image
box,Box,box,35L;60L,55-60L box typically for certain recycling streams.,wrap_box_red_rc13_60px.png
communal bin,Communal wheeled bin,communal_bin,240L;360L,Large bin with 4 wheels.,
carrier bag,Carrier bag,carrier_bag,,Usually provided by householders.,
inner caddy,Inner caddy,inner_caddy,,Insert that sits inside a larger bin.,
kerbside caddy,Kerbside caddy (approx 60 litres),caddy,60L,A larger caddy with a lockable handle for food waste.,wrap_outer_caddy_green-6ceab574.png
kitchen caddy,Kitchen caddy (approx. 7 litres),caddy,7L,A small box with a handle typically for food waste.,wrap_kitchencaddy_brown_60px.png
sack,Non-reusable sack,sack,,Loose disposable bag.,wrap_sack_clear_rc008_60px.png
reusable sack,Reusable sack,reusable_sack,,Loose reusable sack.,wrap_sack_green_rc004_60px.png
triple box stack,Triple box stack,triple_box_stack,,Three boxes with flaps stacked on a wheeled frame.,
wheelie bin,Wheeled bin,wheelie_bin,140L;180L;240L,A tall plastic bin with 2 wheels.,wrap_wheeliebin_grey_rc021_60px.png
tub,Tub,tub,,"A plastic tub for clinical waste, typically yellow.",